id,Lisboa,Result,Log,Order,comissao_coordenadora,grupo_contacto,Apoio_Contacto,Apoio_Coordenadora,Age,Internet,Previous.party,Female
570,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
571,NA,NA,NA,NA,0,0,0,4,NA,NA,NA,NA
572,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
573,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
574,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
575,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA
576,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
577,NA,NA,NA,NA,0,0,0,3,NA,NA,NA,NA
578,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
579,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
580,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
581,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
582,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
583,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
584,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
585,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
586,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
587,NA,NA,NA,NA,0,0,1,4,NA,NA,NA,NA
588,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
589,1,7.23,1.9782390362,1,0,0,0,2,62,1,0,1
590,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
591,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
592,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
593,NA,NA,NA,NA,0,0,0,2,NA,NA,NA,NA
594,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
595,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
596,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
597,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
598,1,16.06,2.7763317085,1,0,1,5,0,21,1,0,1
599,NA,NA,NA,NA,0,0,0,4,NA,NA,NA,NA
600,NA,NA,NA,NA,0,0,0,1,NA,NA,NA,NA
601,NA,NA,NA,NA,0,0,0,3,NA,NA,NA,NA
602,NA,NA,NA,NA,0,0,1,0,NA,NA,NA,NA
603,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
604,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
605,NA,NA,NA,NA,0,0,1,1,NA,NA,NA,NA
606,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
607,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
608,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
609,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
610,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
611,1,13.37,2.5930133911,2,0,0,0,3,30,0,1,1
612,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
613,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
614,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
615,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
616,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
617,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
618,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA
